rank;player_id;last_name;first_name;exported
1;jokicni01;Jokic;Nikola;Y
2;antetgi01;Antetokounmpo;Giannis;Y
3;doncilu01;Doncic;Luka;Y
4;gilgesh01;Gilgeous-Alexander;Shai;Y
5;embiijo01;Embiid;Joel;Y
6;curryst01;Curry;Stephen;Y
7;davisan02;Davis;Anthony;Y
8;leonaka01;Leonard;Kawhi;Y
9;tatumja01;Tatum;Jayson;Y
10;jamesle01;James;LeBron;Y
11;duranke01;Durant;Kevin;Y
12;bookede01;Booker;Devin;Y
13;butleji01;Butler;Jimmy;Y
14;adebaba01;Adebayo;Bam;Y
15;brunsja01;Brunson;Jalen;Y
16;mitchdo01;Mitchell;Donovan;Y
17;goberru01;Gobert;Rudy;Y
18;edwaran01;Edwards;Anthony;Y
19;willizi01;Williamson;Zion;Y
20;youngtr01;Young;Trae;Y
21;lillada01;Lillard;Damian;Y
22;halibty01;Haliburton;Tyrese;Y
23;georgpa01;George;Paul;Y
24;irvinky01;Irving;Kyrie;Y
25;holmgch01;Holmgren;Chet;Y
26;willija06;Williams;Jalen;Y
27;wembavi01;Wembanyama;Victor;Y
28;mobleev01;Mobley;Evan;Y
29;greendr01;Green;Draymond;Y
30;porzikr01;Porzingis;Kristaps;Y
31;jacksja02;Jackson Jr;Jaren;Y
32;townska01;Towns;Karl-Anthony;Y
33;hardeja01;Harden;James;Y
34;derozde01;DeRozan;DeMar;Y
35;allenja01;Allen;Jarrett;Y
36;siakapa01;Siakam;Pascal;Y
37;ingrabr01;Ingram;Brandon;Y
38;whitede01;White;Derrick;Y
39;brownja02;Brown;Jaylen;Y
40;maxeyty01;Maxey;Tyrese;Y
41;murraja01;Murray;Jamal;Y
42;foxde01;Fox;DeAaron;Y
43;sabondo01;Sabonis;Domantas;Y
44;garlada01;Garland;Darius;Y
45;banede01;Bane;Desmond;Y
46;harteis01;Hartenstein;Isaiah;Y
47;lopezbr01;Lopez;Brook;Y
48;wagnefr01;Wagner;Franz;Y
49;sengual01;Sengun;Alperen;Y
50;randlju01;Randle;Julius;Y
51;bealbr01;Beal;Bradley;Y
52;barnesc01;Barnes;Scottie;Y
53;turnemy01;Turner;Myles;Y
54;gordoaa01;Gordon;Aaron;Y
55;holidjr01;Holiday;Jrue;Y
56;anunoog01;Anunoby;OG;Y
57;joneshe01;Jones;Herbert;Y
58;murphtr02;Murphy III;Trey;Y
59;carusal01;Caruso;Alex;Y
60;mcdanja02;McDaniels;Jaden;Y
61;caldwke01;Caldwell-Pope;Kentavious;Y
62;markkla01;Markkanen;Lauri;Y
63;reaveau01;Reaves;Austin;Y
64;portemi01;Porter Jr;Michael;Y
65;powelno01;Powell;Norman;Y
66;divindo01;DiVincenzo;Donte;Y
67;claxtni01;Claxton;Nic;Y
68;bridgmi01;Bridges;Mikal;Y
69;banchpa01;Banchero;Paolo;Y
70;cunnica01;Cunningham;Cade;Y
71;russeda01;Russell;DAngelo;Y
72;conlemi01;Conley;Mike;Y
73;vassede01;Vassell;Devin;Y
74;bogdabo01;Bogdanovic;Bogdan;Y
75;mccolcj01;McCollum;CJ;Y
76;vanvlfr01;VanVleet;Fred;Y
77;murrade01;Murray;Dejounte;Y
78;middlkh01;Middleton;Khris;Y
79;johnsja05;Johnson;Jalen;Y
80;zubaciv01;Zubac;Ivica;Y
81;smithja05;Smith Jr;Jabari;Y
82;kuminjo01;Kuminga;Jonathan;Y
83;hartjo01;Hart;Josh;Y
84;dortlu01;Dort;Luguentz;Y
85;nesmiaa01;Nesmith;Aaron;Y
86;suggsja01;Suggs;Jalen;Y
87;strusma01;Strus;Max;Y
88;robindu01;Robinson;Duncan;Y
89;sextoco01;Sexton;Collin;Y
90;herroty01;Herro;Tyler;Y
91;whiteco01;White;Coby;Y
92;quickim01;Quickley;Immanuel;Y
93;simonan01;Simons;Anfernee;Y
94;monkma01;Monk;Malik;Y
95;thompkl01;Thompson;Klay;Y
96;murrake02;Murray;Keegan;Y
97;grantje01;Grant;Jerami;Y
98;jaqueja01;Jaquez Jr;Jaime;Y
99;avdijde01;Avdija;Deni;Y
100;wiggian01;Wiggins;Andrew;Y
101;barneha02;Barnes;Harrison;Y
102;huntede01;Hunter;DeAndre;Y
103;horfoal01;Horford;Al;Y
104;washipj01;Washington;PJ;Y
105;dosunay01;Dosunmu;Ayo;Y
106;harrito02;Harris;Tobias;Y
107;jonesty01;Jones;Tyus;Y
108;aytonde01;Ayton;DeAndre;Y
109;cartewe01;Carter Jr;Wendell;Y
;finnedo01;Finney-Smith;Dorian;Y
;dinwisp01;Dinwiddie;Spencer;Y
;ballla01;Ball;LaMelo;Y
;batumni01;Batum;Nicolas;Y
;gordoer01;Gordon;Eric;Y
;simmobe01;Simmons;Ben;Y
;hieldbu01;Hield;Buddy;Y
;barrerj01;Barrett;RJ;Y
;clarkjo01;Clarkson;Jordan;Y
;kuzmaky01;Kuzma;Kyle;Y
;valanjo01;Valanciunas;Jonas;Y
;giddejo01;Giddey;Josh;Y
;johnsca02;Johnson;Cameron;Y
;onealro01;ONeale;Royce;Y
;collijo01;Collins;John;Y
;martica02;Martin;Caleb;Y
;lowryky01;Lowry;Kyle;Y
;westbru01;Westbrook;Russell;Y
;grimequ01;Grimes;Quentin;Y
;willigr01;Williams;Grant;Y
;bogdabo02;Bogdanovic;Bojan;Y
;brookdi01;Brooks;Dillon;Y
;princta02;Prince;Taurean;Y
;podzibr01;Podziemski;Brandin;Y
;greenja05;Green;Jalen;Y
;jonestr01;Jones;Tre;Y
;reidna01;Reid;Naz;Y
;coulibi01;Coulibaly;Bilal;Y
;thompam01;Thompson;Amen;Y
;hendesc01;Henderson;Scoot;Y
;millebr02;Miller;Brandon;Y
;fultzma01;Fultz;Markelle;Y
;lavinza01;Lavine;Zach;Y
;moranja01;Morant;Ja;Y
;poeltja01;Poeltl;Jakob;Y
;huertke01;Huerter;Kevin;Y
;vucevni01;Vucevic;Nikola;Y
;poolejo01;Poole;Jordan;Y
;kesslwa01;Kessler;Walker;Y
;capelca01;Capela;Clint;Y
;robinmi01;Robinson;Mitchell;Y
;brogdma01;Brogdon;Malcolm;Y
;brownbr01;Brown;Bruce;Y
;anderky01;Anderson;Kyle;Y
;paulch01;Paul;Chris;Y
;smartma01;Smart;Marcus;Y
