rank;player_id;last_name;first_name;exported
1;jokicni01;Jokic;Nikola;Y
2;curryst01;Curry;Stephen;Y
3;embiijo01;Embiid;Joel;Y
4;antetgi01;Antetokounmpo;Giannis;Y
5;doncilu01;Doncic;Luka;Y
6;duranke01;Durant;Kevin;Y
7;lillada01;Lillard;Damian;Y
8;davisan02;Davis;Anthony;Y
9;butleji01;Butler;Jimmy;Y
10;leonaka01;Leonard;Kawhi;Y
11;tatumja01;Tatum;Jayson;Y
12;bookede01;Booker;Devin;Y
13;gilgesh01;Gilgeous-Alexander;Shai;Y
14;jamesle01;James;LeBron;Y
15;adebaba01;Adebayo;Bam;Y
16;greendr01;Green;Draymond;Y
17;jacksja02;Jackson Jr;Jaren;Y
18;hardeja01;Harden;James;Y
19;irvinky01;Irving;Kyrie;Y
20;youngtr01;Young;Trae;Y
21;mitchdo01;Mitchell;Donovan;Y
22;moranja01;Morant;Ja;Y
23;georgpa01;George;Paul;Y
24;goberru01;Gobert;Rudy;Y
25;foxde01;Fox;DeAaron;Y
26;brunsja01;Brunson;Jalen;Y
27;halibty01;Haliburton;Tyrese;Y
28;garlada01;Garland;Darius;Y
29;lopezbr01;Lopez;Brook;Y
30;sabondo01;Sabonis;Domantas;Y
31;mobleev01;Mobley;Evan;Y
32;lavinza01;Lavine;Zach;Y
33;siakapa01;Siakam;Pascal;Y
34;bealbr01;Beal;Bradley;Y
35;murraja01;Murray;Jamal;Y
36;holidjr01;Holiday;Jrue;Y
37;derozde01;DeRozan;DeMar;Y
38;ingrabr01;Ingram;Brandon;Y
39;edwaran01;Edwards;Anthony;Y
40;brownja02;Brown;Jaylen;Y
41;banede01;Bane;Desmond;Y
42;allenja01;Allen;Jarrett;Y
43;claxtni01;Claxton;Nic;Y
44;markkla01;Markkanen;Lauri;Y
45;porzikr01;Porzingis;Kristaps;Y
46;randlju01;Randle;Julius;Y
47;gordoaa01;Gordon;Aaron;Y
48;thompkl01;Thompson;Klay;Y
49;bridgmi01;Bridges;Mikal;Y
50;horfoal01;Horford;Al;Y
51;cartewe01;Carter Jr;Wendell;Y
52;turnemy01;Turner;Myles;Y
53;aytonde01;Ayton;DeAndre;Y
54;smartma01;Smart;Marcus;Y
55;vanvlfr01;VanVleet;Fred;Y
56;townska01;Towns;Karl-Anthony;Y
57;paulch01;Paul;Chris;Y
58;anderky01;Anderson;Kyle;Y
59;anunoog01;Anunoby;OG;Y
60;wiggian01;Wiggins;Andrew;Y
61;whitede01;White;Derrick;Y
62;portemi01;Porter Jr;Michael;Y
63;brownbr01;Brown;Bruce;Y
64;brogdma01;Brogdon;Malcolm;Y
65;hartjo01;Hart;Josh;Y
66;poelantetgi01tja01;Poeltl;Jakob;Y
67;robinmi01;Robinson;Mitchell;Y
68;capelca01;Capela;Clint;Y
69;zubaciv01;Zubac;Ivica;Y
70;kesslwa01;Kessler;Walker;Y
71;barneha02;Barnes;Harrison;Y
72;dinwisp01;Dinwiddie;Spencer;Y
73;poolejo01;Poole;Jordan;Y
74;murrade01;Murray;Dejounte;Y
75;willija06;Williams;Jalen;Y
76;wagnefr01;Wagner;Franz;Y
77;maxeyty01;Maxey;Tyrese;Y
78;reaveau01;Reaves;Austin;Y
79;herroty01;Herro;Tyler;Y
80;powelno01;Powell;Norman;Y
81;caldwke01;Caldwell-Pope;Kentavious;Y
82;mcdanja02;McDaniels;Jaden;Y
83;vucevni01;Vucevic;Nikola;Y
84;huertke01;Huerter;Kevin;Y
85;barnesc01;Barnes;Scottie;Y
86;russeda01;Russell;DAngelo;Y
87;quickim01;Quickley;Immanuel;Y
88;bogdabo02;Bogdanovic;Bojan;Y
89;willigr01;Williams;Grant;Y
90;grantje01;Grant;Jerami;Y
91;grimequ01;Grimes;Quentin;Y
92;joneshe01;Jones;Herbert;Y
93;murrake02;Murray;Keegan;Y
94;murphtr02;Murphy III;Trey;Y
95;johnsca02;Johnson;Cameron;Y
96;hieldbu01;Hield;Buddy;Y
97;strusma01;Strus;Max;Y
98;huntede01;Hunter;DeAndre;Y
99;westbru01;Westbrook;Russell;Y
100;conlemi01;Conley;Mike;Y
101;lowryky01;Lowry;Kyle;Y
102;martica02;Martin;Caleb;Y
103;harrito02;Harris;Tobias;Y
104;simonan01;Simons;Anfernee;Y
105;bogdabo01;Bogdanovic;Bogdan;Y
106;collijo01;Collins;John;Y
107;onealro01;ONeale;Royce;Y
108;fultzma01;Fultz;Markelle;Y
109;haywago01;Hayward;Gordon;Y
110;finnedo01;Finney-Smith;Dorian;Y
111;giddejo01;Giddey;Josh;Y
112;valanjo01;Valanciunas;Jonas;Y
113;kuzmaky01;Kuzma;Kyle;Y
114;banchpa01;Banchero;Paolo;Y
115;mccolcj01;McCollum;CJ;Y
116;clarkjo01;Clarkson;Jordan;Y
117;barrerj01;Barrett;RJ;Y
;simmobe01;Simmons;Ben;Y
;willizi01;Williamson;Zion;Y
;beverpa01;Beverley;Patrick;Y
;gordoer01;Gordon;Eric;Y
;drumman01;Drummond;Andre;Y
;oladivi01;Oladipo;Victor;Y
;matthwe02;Matthews;Wesley;Y
;craigto01;Craig;Torrey;Y
;johnske04;Johnson;Keldon;Y
;batumni01;Batum;Nicolas;Y
;loveke01;Love;Kevin;Y
;tuckepj01;Tucker;PJ;Y
;greenje02;Green;Jeff;Y
